Date,CEG,ETN,GEV,NNE,OKLO,PH,SMR,SPY,VST
2023-06-06,0.023044060489873782,-0.0009262352943491558,0.0,0.0,-0.02567896757380068,0.02690375144415672,0.029282808447023093,0.0021749943804269464,-0.006850799196755082
2023-06-07,0.013972149708649649,0.027849609870889514,0.0,0.0,0.01813888224738587,0.035041585620318165,0.033315849667096394,-0.003463574164404746,0.017238418776700997
2023-06-08,0.016274827730967934,-0.004144281195615182,0.0,0.0,-0.001893893009055644,-0.008702166189640105,-0.0036473880337177375,0.006030403541826773,-0.013605646668407065
2023-06-09,0.01066860024375518,-0.002772511394527731,0.0,0.0,-0.0009483385072504335,0.0008427508131568904,-0.04102500971799356,0.0017925511685741653,0.0
2023-06-12,0.0049187768276204085,0.011941152147385434,0.0,0.0,0.002369071856436118,0.00688380918502724,0.04588528195384292,0.009030969278845826,-0.004846501214913978
2023-06-13,0.005319186152061797,0.02248347004307758,0.0,0.0,0.004250308917083981,0.026528251511645,0.022769058543656528,0.006571340100388619,0.008064528303375122
2023-06-14,-0.011203123340272509,-0.0040831257098223545,0.0,0.0,0.0028235959131949605,-0.0018485080535457984,-0.025196299822614524,0.0011901437020470018,-0.003620999616379938
2023-06-15,0.00278588848917542,0.019592208375574415,0.0,0.0,-0.0028235959131948886,0.017503406756191994,-0.014688133273572782,0.01232141763485702,0.020742648738219505
2023-06-16,-0.006117571282542444,-0.02901138700482801,0.0,0.0,-0.0004713754157253964,-0.013295183734322065,0.007371092416156995,-0.003412056559400137,-0.010716496401072232
2023-06-20,-0.009736234667187451,0.015409162089393025,0.0,0.0,-0.00047150774602275385,0.007423024924699306,-0.033606146665413165,-0.0052016230953704605,0.004575904737135708
2023-06-21,-0.016330040486952007,0.0031356517509886863,0.0,0.0,-0.0028342660954659843,0.006433358830500137,0.022529091545881487,-0.005136850511711748,0.00718266313532328
2023-06-22,-0.013908496322431038,0.0038931563253266966,0.0,0.0,0.0033057738414886857,-0.008694822655765922,-0.04299020506034538,0.0036031604054688475,0.005946509367686645
2023-06-23,0.012360409162819276,-0.005845351448540946,0.0,0.0,-0.0006602810950257273,-0.002401871558974252,-0.0626453691084989,-0.007588764361560114,-0.007936406792400692
2023-06-26,0.0029835582376986497,0.008296264371476837,0.0,0.0,-0.002645492746462919,0.014351299693805194,-0.0771811424311043,-0.0040941879146918015,0.01972445922092207
2023-06-27,0.0024244227229772613,0.007975042196799165,0.0,0.0,-0.002842231516306041,0.012492542390224771,-0.02102177482185993,0.010903670331839465,0.007394525935866549
2023-06-28,-0.003307419978661372,-0.014781041254605084,0.0,0.0,-0.011450495846862259,0.0059269004481696625,0.012066499697029427,0.0005041913455711617,-0.002329304022073417
2023-06-29,0.0035277489759068855,0.020834013841505458,0.0,0.0,0.0019174986142248176,0.011180380333935412,0.025167882576725184,0.003933540776073462,0.01197624099657128
2023-06-30,0.007455217869017687,0.0112515276638903,0.0,0.0,-0.0009582439892178605,0.008471146327327322,-0.005865113711324816,0.011731794549231478,0.008032214512462216
2023-07-03,0.0005463091511794704,-0.0023398419005355633,0.0,0.0,-0.0009592546250069779,0.0024835878021368953,0.03893786395742713,0.0011498895935602698,-0.0061140048471787336
2023-07-05,0.0058776499711080355,-0.008660331762868392,0.0,0.0,0.006695356942058786,-0.021089627193587444,-0.022890888491338027,-0.0014882267700982602,0.028341113782198005
2023-07-06,-0.01244954684607683,-0.005798550575351187,0.0,0.0,-0.000953765375999943,-0.010212799804207579,-0.035349744331489505,-0.007861449765563445,0.004090094501953731
2023-07-07,0.003619724854519597,0.003584048383885417,0.0,0.0,0.0019066219503222404,0.013654721973303302,0.08475998899722301,-0.00252798042191094,-0.009319747633944308
2023-07-10,0.024550961965655035,0.02291389735143582,0.0,0.0,0.0028530436235449943,0.021807818293021385,0.031188906607677223,0.0025279804219109827,-0.009029540747805674
2023-07-11,0.008086968527183587,-0.00044314826972770705,0.0,0.0,-0.01434741202414344,0.015315976516523128,0.05075915142194174,0.006348225679700616,0.002265262409038489
2023-07-12,0.017855774959108943,-0.005186851896298567,0.0,0.0,0.0,-0.004046199562311915,-0.032240058097571585,0.008013665182727111,0.009009128025526997
2023-07-13,-0.008258140539009537,0.012011749308478184,0.0,0.0,-0.001928685070804626,0.003945973056648964,0.030970187592723766,0.007905469556473569,-0.0018702844547788767
2023-07-14,-0.002838041589258729,-0.004413750734475243,0.0,0.0,0.0009648075135929859,-0.006189838437504629,-0.028352387583123678,-0.0006228852159297259,-0.013949263679841237
2023-07-17,0.012344598328640164,0.012212568544387995,0.0,0.0,-0.0019304546373116818,0.011917587050087582,0.024533193520282187,0.0034662108965541664,-0.008004809286367903
2023-07-18,-0.008457437605394242,0.021043236963246045,0.0,0.0,0.0,0.018801994725218218,0.0012746658205422222,0.007403144307724307,0.024571375597313014
2023-07-19,-0.0067332797220281465,-0.0025229398287073736,0.0,0.0,0.0,-0.012016186870048576,-0.019293215556723205,0.0022211677752180105,0.020329691832769163
2023-07-20,0.022545639357451762,0.005229247612125389,0.0,0.0,-0.0009666727310234562,-0.0021575153376953812,-0.027651537118071296,-0.006656558190426154,0.001462496714421414
