Date,D,DUK,EMR,ETN,NEE,POWL,PWR,SO,SPY,VRT
2016-05-17,46.12445068359375,52.81517791748047,40.94825744628906,49.43224334716797,23.199853897094727,8.629429817199707,22.301111221313477,32.72399139404297,174.0384063720703,
2016-05-18,45.170562744140625,51.39555358886719,39.735843658447266,48.448768615722656,22.858964920043945,8.556585311889648,21.987285614013672,32.03057098388672,174.08941650390625,
2016-05-19,45.99467849731445,51.66404724121094,39.21959686279297,47.997337341308594,22.934505462646484,8.483739852905273,22.1343936920166,32.45062255859375,173.48617553710938,
2016-05-20,46.0595703125,51.68417739868164,39.61852264404297,48.20691680908203,23.11269760131836,8.743898391723633,22.379566192626953,32.43728256225586,174.5821533203125,
2016-05-23,45.51448059082031,51.1136474609375,39.649803161621094,48.408451080322266,22.853151321411133,8.754305839538574,22.42860221862793,32.063907623291016,174.3443145751953,
2016-05-24,45.9297981262207,51.67745590209961,40.02526092529297,48.69060134887695,23.221160888671875,9.222588539123535,22.212844848632812,32.31060028076172,176.60421752929688,
2016-05-25,46.033599853515625,51.650611877441406,40.74489974975586,49.6660270690918,23.068151473999023,9.355269432067871,22.958179473876953,32.37061309814453,177.80210876464844,
2016-05-26,46.442413330078125,52.328548431396484,40.69013214111328,49.593482971191406,23.378376007080078,9.31624698638916,23.115093231201172,32.81733703613281,177.85305786132812,
2016-05-27,46.46837615966797,52.34197235107422,40.8309211730957,49.68215560913086,23.382278442382812,9.279826164245605,23.203353881835938,32.77732849121094,178.6177520751953,
2016-05-31,46.88368225097656,52.50978088378906,40.69013214111328,49.68215560913086,23.43691062927246,9.261613845825195,23.566221237182617,32.96402359008789,178.27786254882812,
2016-06-01,46.9688606262207,53.040035247802734,40.799644470214844,49.69827651977539,23.442766189575195,9.134132385253906,23.477954864501953,33.050697326660156,178.64317321777344,
2016-06-02,46.8443489074707,52.98633575439453,40.86222839355469,49.77888488769531,23.376422882080078,9.402097702026367,23.173934936523438,32.91068649291992,179.1869659423828,
2016-06-03,47.814151763916016,53.751548767089844,40.90914535522461,49.537044525146484,23.76470184326172,9.334457397460938,23.154319763183594,33.45740509033203,178.6516571044922,
2016-06-06,47.683082580566406,53.590457916259766,41.83214569091797,50.5205192565918,23.754941940307617,9.573802947998047,23.458335876464844,33.424072265625,179.5607147216797,
2016-06-07,47.50617980957031,53.69111251831055,41.87125015258789,50.40766525268555,23.63007164001465,9.612826347351074,23.634862899780273,33.39740753173828,179.84112548828125,
2016-06-08,47.80104064941406,54.040164947509766,42.098106384277344,50.89940643310547,23.98322105407715,9.833958625793457,23.909454345703125,33.58408737182617,180.42735290527344,
2016-06-09,48.31869888305664,54.54358673095703,41.918190002441406,50.60114288330078,24.190046310424805,9.779324531555176,23.634862899780273,33.91081237792969,180.18093872070312,
2016-06-10,48.063140869140625,54.5301513671875,41.24549102783203,49.6740837097168,24.160781860351562,9.714287757873535,23.017019271850586,34.07748031616211,178.4732666015625,
2016-06-13,48.08934783935547,54.77851104736328,40.38507080078125,48.876007080078125,24.113954544067383,9.722092628479004,22.575706481933594,33.997467041015625,177.09686279296875,
2016-06-14,48.272830963134766,55.31549072265625,40.69013214111328,48.72285079956055,24.385160446166992,9.794936180114746,22.50705337524414,34.22417068481445,176.7485809326172,
2016-06-15,48.279380798339844,54.72480773925781,40.64320755004883,48.89213943481445,24.162729263305664,9.77672290802002,22.605127334594727,33.92414474487305,176.502197265625,
2016-06-16,48.416988372802734,55.39603805541992,40.768348693847656,49.00499725341797,24.359792709350586,9.748109817504883,22.644351959228516,34.044158935546875,177.0289306640625,
2016-06-17,48.56769943237305,55.69810104370117,41.018653869628906,49.6740837097168,24.408567428588867,9.774123191833496,22.762042999267578,34.10415267944336,176.3696746826172,
2016-06-20,48.724952697753906,55.0402946472168,41.73828887939453,50.21419906616211,24.240772247314453,9.979646682739258,22.98760223388672,33.96413040161133,177.5054473876953,
2016-06-21,48.71840286254883,55.0402946472168,41.574031829833984,49.859500885009766,24.246623992919922,9.844366073608398,23.04643440246582,33.937469482421875,178.0093536376953,
2016-06-22,48.35144805908203,54.926185607910156,41.135990142822266,49.78694534301758,24.123703002929688,9.867779731750488,23.105283737182617,33.90412902832031,177.71896362304688,
2016-06-23,48.4562873840332,55.07386779785156,41.98075866699219,50.641441345214844,24.156871795654297,9.995257377624512,23.644670486450195,34.044158935546875,180.03338623046875,
2016-06-24,48.60044479370117,55.32891082763672,39.75932312011719,46.780067443847656,24.154924392700195,9.542585372924805,22.565898895263672,34.13082504272461,173.5685577392578,
2016-06-27,49.111541748046875,56.376014709472656,38.507789611816406,44.79698181152344,24.95098304748535,9.412504196166992,21.30080223083496,34.804237365722656,170.45994567871094,
2016-06-28,50.08789825439453,56.34244918823242,38.89889144897461,45.83688735961914,25.064149856567383,9.581605911254883,21.49694061279297,34.87758255004883,173.53436279296875,
2016-06-29,50.0682373046875,56.483436584472656,39.62633514404297,46.82843017578125,24.925615310668945,9.820951461791992,21.997093200683594,34.81757736206055,176.4892120361328,
2016-06-30,51.06422424316406,57.5842399597168,40.799644470214844,48.15047836303711,25.44266700744629,10.234599113464355,22.673776626586914,35.75769805908203,178.89755249023438,
2016-07-01,51.01834487915039,57.47682571411133,40.8309211730957,48.58579635620117,25.31193733215332,10.22159481048584,22.722810745239258,35.89103317260742,179.2732696533203,
2016-07-05,51.40492630004883,58.34941101074219,39.93138885498047,47.33628845214844,25.53436851501465,10.20598316192627,22.595317840576172,36.17108917236328,177.98379516601562,
2016-07-06,51.71292495727539,58.55078887939453,40.41636657714844,47.92476272583008,25.538270950317383,9.402097702026367,23.00720977783203,36.29777526855469,179.05128479003906,
2016-07-07,50.76280212402344,57.24860382080078,40.96390151977539,48.45682907104492,25.038780212402344,9.42551040649414,23.203353881835938,35.777687072753906,178.94017028808594,
2016-07-08,51.23458480834961,57.73189163208008,41.80086898803711,49.91592788696289,25.350963592529297,9.62322998046875,23.889841079711914,36.09773635864258,181.604736328125,
2016-07-11,51.20838928222656,57.73189163208008,42.152854919433594,50.30286407470703,25.30413818359375,9.771519660949707,24.193862915039062,35.86437225341797,182.24526977539062,
2016-07-12,50.723472595214844,56.67806625366211,43.04457092285156,51.5604362487793,24.843671798706055,9.81314468383789,24.89996910095215,35.23095703125,183.56895446777344,
2016-07-13,50.959381103515625,57.0875358581543,43.20099639892578,51.48789978027344,25.007566452026367,9.849568367004395,24.93919563293457,35.424312591552734,183.54330444335938,
2016-07-14,50.546566009521484,56.886146545410156,43.842411041259766,51.43145751953125,24.82611846923828,9.802742958068848,24.870540618896484,35.744354248046875,184.5681610107422,
2016-07-15,50.80211639404297,57.00027084350586,43.98319625854492,51.455650329589844,24.89244842529297,9.810543060302734,24.968616485595703,35.75769805908203,184.3204803466797,
2016-07-18,50.992122650146484,57.221771240234375,43.9519157409668,51.18156433105469,25.02317237854004,9.810543060302734,25.184371948242188,35.751033782958984,184.8158721923828,
2016-07-19,50.99869918823242,57.30900955200195,44.06924819946289,50.82685470581055,24.991952896118164,9.823554039001465,24.968616485595703,35.751033782958984,184.62789916992188,
2016-07-20,50.65140914916992,57.00027084350586,43.944087982177734,51.189613342285156,24.82025146484375,9.755912780761719,25.05687713623047,35.55766677856445,185.39649963378906,
2016-07-21,50.847991943359375,57.322444915771484,43.40438461303711,50.95585250854492,25.02512550354004,9.722092628479004,24.929380416870117,35.93771743774414,184.69622802734375,
2016-07-22,51.44426727294922,58.060787200927734,43.654685974121094,51.0928840637207,25.327545166015625,9.545185089111328,24.909770965576172,36.36442184448242,185.52462768554688,
2016-07-25,51.50979995727539,58.18831253051758,43.49822998046875,51.16543960571289,25.26511573791504,9.545185089111328,24.929380416870117,36.36442184448242,185.02078247070312,
2016-07-26,50.80211639404297,57.55738067626953,43.944087982177734,52.052188873291016,25.05829429626465,9.55558967590332,25.2628231048584,36.3044319152832,185.10617065429688,
2016-07-27,50.14030456542969,56.939849853515625,43.8345947265625,51.923194885253906,24.812456130981445,9.568599700927734,25.341279983520508,35.69768524169922,184.9097442626953,
2016-07-28,50.4155158996582,57.18821716308594,43.67033004760742,51.60074234008789,24.86123275756836,9.506160736083984,25.07649040222168,35.510990142822266,185.12326049804688,
2016-07-29,51.12318801879883,57.449989318847656,43.72507858276367,51.1170654296875,25.030977249145508,9.584208488464355,25.10590934753418,35.67101287841797,185.42214965820312,
2016-08-01,50.83488464355469,57.49026870727539,43.63120651245117,51.544315338134766,25.071949005126953,9.49835205078125,24.89996910095215,35.77102279663086,185.26846313476562,
2016-08-02,50.697265625,57.42985534667969,41.48015594482422,51.60074234008789,24.902204513549805,9.264215469360352,24.6842098236084,35.577674865722656,184.0813446044922,
2016-08-03,50.291011810302734,57.15463638305664,41.38629150390625,52.25144577026367,24.991952896118164,9.337061882019043,24.929380416870117,35.36431121826172,184.61935424804688,
2016-08-04,50.07476806640625,57.21504592895508,41.48015594482422,52.46292495727539,24.867088317871094,9.118526458740234,22.99740982055664,35.44432830810547,184.8158721923828,
2016-08-05,49.38677215576172,56.53712844848633,42.07463455200195,53.243778228759766,24.582218170166016,9.506160736083984,24.37038803100586,35.09762191772461,186.32740783691406,
2016-08-08,49.13775634765625,56.87943649291992,42.48138427734375,53.54472351074219,24.582218170166016,9.568599700927734,24.164440155029297,35.130943298339844,186.2163543701172,
2016-08-09,48.9673957824707,56.87271499633789,42.49702453613281,53.552860260009766,24.59782600402832,9.610221862792969,24.31154441833496,35.23095703125,186.32740783691406,
2016-08-10,49.15086364746094,56.81510925292969,42.1695442199707,54.26049041748047,24.656362533569336,9.620630264282227,24.252695083618164,35.257633209228516,185.8662567138672,
2016-08-11,49.406429290771484,56.8964729309082,42.63511657714844,54.764801025390625,24.783185958862305,9.774123191833496,24.586143493652344,35.257633209228516,186.728759765625,
2016-08-12,49.77336502075195,56.61168670654297,42.587764739990234,54.66719436645508,24.738309860229492,9.771519660949707,24.41942596435547,35.27784729003906,186.56654357910156,
2016-08-15,49.14431381225586,55.37081527709961,43.171695709228516,55.00880432128906,24.451496124267578,9.983717918395996,24.890159606933594,34.698307037353516,187.10455322265625,
2016-08-16,48.93461990356445,54.55036926269531,43.061222076416016,54.71599197387695,24.191997528076172,10.174959182739258,24.89996910095215,34.34114456176758,186.13951110839844,
2016-08-17,50.22549057006836,55.39116287231445,43.32162857055664,55.000675201416016,24.545148849487305,10.358338356018066,24.948997497558594,34.68482971191406,186.4896697998047,
2016-08-18,50.36309814453125,56.130245208740234,43.14013671875,55.08201599121094,24.771480560302734,10.528621673583984,25.63548469543457,35.25090026855469,186.90809631347656,
2016-08-19,49.668521881103516,55.364036560058594,41.806556701660156,55.03318786621094,24.404666900634766,10.706758499145508,25.43935203552246,35.01502990722656,186.63482666015625,
2016-08-22,49.9830322265625,55.52674865722656,41.759220123291016,55.06574249267578,24.396860122680664,10.554814338684082,25.498193740844727,35.0419921875,186.62631225585938,
2016-08-23,49.688194274902344,55.228431701660156,42.59565734863281,55.04947280883789,24.246623992919922,10.609830856323242,25.851247787475586,34.84656524658203,187.00205993652344,
