Date,CEG,ETN,GEV,NNE,OKLO,PH,SMR,SPY,VST
2023-06-05,85.74435424804688,176.5840606689453,0.0,0.0,10.649999618530273,326.7244873046875,7.739999771118164,411.0008544921875,23.99877166748047
2023-06-06,87.74317169189453,176.4205780029297,0.0,0.0,10.380000114440918,335.6338806152344,7.96999979019165,411.8958435058594,23.83492660522461
2023-06-07,88.97775268554688,181.40289306640625,0.0,0.0,10.569999694824219,347.60345458984375,8.239999771118164,410.4715881347656,24.249361038208008
2023-06-08,90.43769836425781,180.6526641845703,0.0,0.0,10.550000190734863,344.59173583984375,8.210000038146973,412.9543762207031,23.92166519165039
2023-06-09,91.40773010253906,180.15252685546875,0.0,0.0,10.539999961853027,344.88226318359375,7.880000114440918,413.6953430175781,23.92166519165039
2023-06-12,91.85843658447266,182.31663513183594,0.0,0.0,10.5649995803833,347.2645263671875,8.25,417.4483642578125,23.806011199951172
2023-06-13,92.34835052490234,186.462158203125,0.0,0.0,10.609999656677246,356.60009765625,8.4399995803833,420.20050048828125,23.99877166748047
2023-06-14,91.31953430175781,185.70233154296875,0.0,0.0,10.640000343322754,355.9415588378906,8.229999542236328,420.70086669921875,23.91202735900879
2023-06-15,91.57427215576172,189.37652587890625,0.0,0.0,10.609999656677246,362.2265930175781,8.109999656677246,425.9166564941406,24.413209915161133
2023-06-16,91.01579284667969,183.96139526367188,0.0,0.0,10.604999542236328,357.4426574707031,8.170000076293945,424.46588134765625,24.152978897094727
2023-06-20,90.13394927978516,186.81805419921875,0.0,0.0,10.600000381469727,360.1058044433594,7.900000095367432,422.26361083984375,24.263755798339844
2023-06-21,88.67401123046875,187.40476989746094,0.0,0.0,10.569999694824219,362.4299621582031,8.079999923706055,420.10009765625,24.43866539001465
2023-06-22,87.44923400878906,188.13577270507812,0.0,0.0,10.604999542236328,359.29229736328125,7.739999771118164,421.6165466308594,24.584423065185547
2023-06-23,88.53683471679688,187.03927612304688,0.0,0.0,10.597999572753906,358.43035888671875,7.269999980926514,418.42913818359375,24.390079498291016
2023-06-26,88.80138397216797,188.59744262695312,0.0,0.0,10.569999694824219,363.61138916015625,6.730000019073486,416.71954345703125,24.87593650817871
2023-06-27,89.01693725585938,190.1075439453125,0.0,0.0,10.539999961853027,368.1824035644531,6.590000152587891,421.2881774902344,25.060565948486328
2023-06-28,88.7229995727539,187.31820678710938,0.0,0.0,10.420000076293945,370.3710021972656,6.670000076293945,421.5006408691406,25.00225830078125
2023-06-29,89.03654479980469,191.26174926757812,0.0,0.0,10.4399995803833,374.53515625,6.840000152587891,423.16192626953125,25.303491592407227
2023-06-30,89.70281219482422,193.4259033203125,0.0,0.0,10.430000305175781,377.72125244140625,6.800000190734863,428.1554870605469,25.507553100585938
2023-07-03,89.75181579589844,192.9738006591797,0.0,0.0,10.420000076293945,378.66058349609375,7.070000171661377,428.6481018066406,25.35207748413086
2023-07-05,90.28092956542969,191.309814453125,0.0,0.0,10.489999771118164,370.75836181640625,6.909999847412109,428.01068115234375,26.08086395263672
2023-07-06,89.1639175415039,190.2036895751953,0.0,0.0,10.479999542236328,366.9912109375,6.670000076293945,424.65899658203125,26.187753677368164
2023-07-07,89.48727416992188,190.8866424560547,0.0,0.0,10.5,372.03668212890625,7.260000228881836,423.58685302734375,25.944828033447266
2023-07-10,91.71147155761719,195.31109619140625,0.0,0.0,10.529999732971191,380.2391357421875,7.489999771118164,424.65899658203125,25.711612701416016
2023-07-11,92.45613098144531,195.22454833984375,0.0,0.0,10.380000114440918,386.1077575683594,7.880000114440918,427.3634948730469,25.76991844177246
2023-07-12,94.121826171875,194.21458435058594,0.0,0.0,10.380000114440918,384.548583984375,7.630000114440918,430.80206298828125,26.003129959106445
2023-07-13,93.34777069091797,196.5614776611328,0.0,0.0,10.359999656677246,386.0689392089844,7.869999885559082,434.2212829589844,25.954544067382812
2023-07-14,93.0832290649414,195.69583129882812,0.0,0.0,10.369999885559082,383.6867370605469,7.650000095367432,433.95086669921875,25.595006942749023
2023-07-17,94.2394027709961,198.10044860839844,0.0,0.0,10.350000381469727,388.2867126464844,7.840000152587891,435.4575500488281,25.39094352722168
2023-07-18,93.44574737548828,202.3132781982422,0.0,0.0,10.350000381469727,395.6563415527344,7.849999904632568,438.6932678222656,26.022563934326172
2023-07-19,92.81866455078125,201.80349731445312,0.0,0.0,10.350000381469727,390.9305114746094,7.699999809265137,439.6687927246094,26.557003021240234
2023-07-20,94.9350814819336,202.8615264892578,0.0,0.0,10.34000015258789,390.08795166015625,7.489999771118164,436.7518310546875,26.595876693725586
2023-07-21,94.65093231201172,199.764404296875,0.0,0.0,10.359999656677246,385.0909423828125,7.440000057220459,436.7518310546875,27.55787467956543
2023-07-24,94.6019515991211,199.4469757080078,0.0,0.0,10.319999694824219,385.303955078125,7.360000133514404,438.70294189453125,27.499570846557617
