Date,ETN,GEV,PH,PH weight,GEV weight,ETN weight,weightedReturn
2023-06-06,0.999074020787352,0.0,1.0272686395466961,0.5,0.0,0.5,1.013171330167024
2023-06-07,1.0282412109153705,0.0,1.0356629616762028,0.5,0.0,0.5,1.0319520862957865
2023-06-08,0.9958642107193386,0.0,0.9913355888252713,0.5,0.0,0.5,0.993599899772305
2023-06-09,0.9972314973952746,0.0,1.000843194514285,0.5,0.0,0.5,0.9990373459547799
2023-06-12,1.0120127303026518,0.0,1.0069074673507532,0.5,0.0,0.5,1.0094600988267026
2023-06-13,1.0227381244014317,0.0,1.0268831676137924,0.5,0.0,0.5,1.024810646007612
2023-06-14,0.9959249540813675,0.0,0.9981532849645013,0.5,0.0,0.5,0.9970391195229344
2023-06-15,1.0197855612419464,0.0,1.0176574875418978,0.5,0.0,0.5,1.018721524391922
2023-06-16,0.9714051635881834,0.0,0.9867928079517133,0.5,0.0,0.5,0.9790989857699484
2023-06-20,1.0155286638489487,0.0,1.0074507286120682,0.5,0.0,0.5,1.0114896962305084
2023-06-21,1.0031404913721431,0.0,1.006454011492254,0.5,0.0,0.5,1.0047972514321986
2023-06-22,1.0039009076632928,0.0,0.9913427845240506,0.5,0.0,0.5,0.9976218460936717
2023-06-23,0.994171618746881,0.0,0.9976010955645283,0.5,0.0,0.5,0.9958863571557046
2023-06-26,1.0083307737396703,0.0,1.0144545173421173,0.5,0.0,0.5,1.011392645540894
2023-06-27,1.0080069275518082,0.0,1.0125710701221848,0.5,0.0,0.5,1.0102889988369965
2023-06-28,0.9853274213017583,0.0,1.0059445821614128,0.5,0.0,0.5,0.9956360017315855
2023-06-29,1.0210527250426704,0.0,1.011243278233151,0.5,0.0,0.5,1.0161480016379107
2023-06-30,1.0113153044135368,0.0,1.0085066370509672,0.5,0.0,0.5,1.009910970732252
2023-07-03,0.9976626571034587,0.0,1.0024869982395006,0.5,0.0,0.5,1.0000748276714797
2023-07-05,0.9913772183499435,0.0,0.9791308831626686,0.5,0.0,0.5,0.9852540507563061
2023-07-06,0.9942181492733784,0.0,0.9898394181780588,0.5,0.0,0.5,0.9920287837257186
2023-07-07,1.0035905589886716,0.0,1.0137483734656025,0.5,0.0,0.5,1.0086694662271372
2023-07-10,1.0231784355281441,0.0,1.0220473467914593,0.5,0.0,0.5,1.0226128911598016
2023-07-11,0.9995567936894546,0.0,1.0154338671861236,0.5,0.0,0.5,1.0074953304377892
2023-07-12,0.9948268888292267,0.0,0.9959618171956985,0.5,0.0,0.5,0.9953943530124626
2023-07-13,1.012083862970672,0.0,1.0039538486457342,0.5,0.0,0.5,1.0080188558082033
2023-07-14,0.9955960528349455,0.0,0.9938292786594016,0.5,0.0,0.5,0.9947126657471735
2023-07-17,1.0122873684944285,0.0,1.0119889649314047,0.5,0.0,0.5,1.0121381667129166
2023-07-18,1.021266285795977,0.0,1.0189798652527655,0.5,0.0,0.5,1.020123075524371
2023-07-19,0.9974803155307459,0.0,0.9880557192029598,0.5,0.0,0.5,0.9927680173668528
2023-07-20,1.0052427923702847,0.0,0.9978448104255968,0.5,0.0,0.5,1.0015438013979407
2023-07-21,0.9847327509322676,0.0,0.9871898098651568,0.5,0.0,0.5,0.9859612803987122
2023-07-24,0.998411061492959,0.0,1.000553466188993,0.5,0.0,0.5,0.9994822638409759
2023-07-25,0.9948399340614463,0.0,1.000552922421919,0.5,0.0,0.5,0.9976964282416827
2023-07-26,0.9842454844884189,0.0,0.9891230814948789,0.5,0.0,0.5,0.9866842829916489
2023-07-27,0.9953703696469142,0.0,1.0090156090113833,0.5,0.0,0.5,1.0021929893291488
2023-07-28,1.0059378025310939,0.0,1.0056883517993127,0.5,0.0,0.5,1.0058130771652034
2023-07-31,1.0099358277311254,0.0,1.0261280571576932,0.5,0.0,0.5,1.0180319424444093
2023-08-01,1.0666277762989995,0.0,1.0101461230795978,0.5,0.0,0.5,1.0383869496892988
2023-08-02,0.9994063609994461,0.0,0.9799598885815913,0.5,0.0,0.5,0.9896831247905187
2023-08-03,0.9919132335896135,0.0,1.0303297346963463,0.5,0.0,0.5,1.0111214841429799
2023-08-04,0.9984273933019129,0.0,0.9903630994643763,0.5,0.0,0.5,0.9943952463831446
2023-08-07,1.0240390368400956,0.0,1.0260775643144955,0.5,0.0,0.5,1.0250583005772955
2023-08-08,0.9959745869311405,0.0,1.0004001491141288,0.5,0.0,0.5,0.9981873680226346
2023-08-09,0.9892368666487317,0.0,0.9932723856552775,0.5,0.0,0.5,0.9912546261520045
2023-08-10,0.995868425349658,0.0,0.9775019588255212,0.5,0.0,0.5,0.9866851920875896
2023-08-11,1.0065920840943063,0.0,1.0090853316186885,0.5,0.0,0.5,1.0078387078564974
2023-08-14,1.00311402627395,0.0,0.9935414200961826,0.5,0.0,0.5,0.9983277231850662
2023-08-15,0.9949782572939782,0.0,0.9877724906054265,0.5,0.0,0.5,0.9913753739497023
2023-08-16,0.9915112610411392,0.0,0.9940307052215775,0.5,0.0,0.5,0.9927709831313584
2023-08-17,0.9920867553166712,0.0,0.9821076588449397,0.5,0.0,0.5,0.9870972070808055
2023-08-18,1.00125935988313,0.0,0.9967675333459421,0.5,0.0,0.5,0.9990134466145362
2023-08-21,1.0050781431735587,0.0,0.9992707265765775,0.5,0.0,0.5,1.002174434875068
2023-08-22,1.0071844280044375,0.0,1.001585117260859,0.5,0.0,0.5,1.0043847726326482
2023-08-23,1.0184545976146377,0.0,1.0151970166881186,0.5,0.0,0.5,1.016825807151378
2023-08-24,0.9982379333996233,0.0,0.9855994457042744,0.5,0.0,0.5,0.9919186895519488
2023-08-25,1.015119093295017,0.0,1.0160262817856975,0.5,0.0,0.5,1.0155726875403572
2023-08-28,1.008873902186045,0.0,1.013218988705979,0.5,0.0,0.5,1.011046445446012
2023-08-29,1.008133106137915,0.0,1.01948391180167,0.5,0.0,0.5,1.0138085089697926
