Date,VST,CEG,CEG weight,VST weight,weightedReturn
2023-10-17,1.0086713281474526,1.0027389766426564,0.5,0.5,1.0057051523950546
2023-10-18,0.9953945251198492,0.9907810216041074,0.5,0.5,0.9930877733619783
2023-10-19,0.9904380491379418,0.984664372875999,0.5,0.5,0.9875512110069704
2023-10-20,0.9943944038814142,0.9808382354689827,0.5,0.5,0.9876163196751985
2023-10-23,0.9987471064984526,1.000089295505568,0.5,0.5,0.9994182010020103
2023-10-24,1.0254001219168658,1.0192667810341367,0.5,0.5,1.0223334514755011
2023-10-25,1.002446185295613,0.9803971565482593,0.5,0.5,0.9914216709219361
2023-10-26,1.0036609192289907,1.0061592094717653,0.5,0.5,1.004910064350378
2023-10-27,0.973252212014198,0.9827889744276563,0.5,0.5,0.9780205932209272
2023-10-30,1.0174890150669136,1.0203106334651153,0.5,0.5,1.0188998242660143
2023-10-31,1.0042971915059948,0.9990269305205857,0.5,0.5,1.0016620610132903
2023-11-01,1.0369804458740184,1.0170917576118523,0.5,0.5,1.0270361017429352
2023-11-02,1.0215148264789797,1.0203743399467915,0.5,0.5,1.0209445832128856
2023-11-03,1.009521058592316,0.9989759891896054,0.5,0.5,1.0042485238909606
2023-11-06,1.009717163580635,1.0654310043350645,0.5,0.5,1.0375740839578498
2023-11-07,0.983583310409366,0.9610358100198523,0.5,0.5,0.9723095602146091
2023-11-08,0.9976978970406233,1.0109284494900708,0.5,0.5,1.004313173265347
2023-11-09,0.996827192024429,0.99546129643994,0.5,0.5,0.9961442442321845
2023-11-10,0.9976850150616267,1.0094503976919242,0.5,0.5,1.0035677063767754
2023-11-13,0.9976798697812205,0.9995893607771368,0.5,0.5,0.9986346152791786
2023-11-14,1.0238373193574952,1.0394348804057065,0.5,0.5,1.031636099881601
2023-11-15,0.9852356841391973,0.9641953330247174,0.5,0.5,0.9747155085819573
2023-11-16,1.0011529348905488,0.9996876902003919,0.5,0.5,1.0004203125454705
2023-11-17,1.0034540353307777,1.000164481905876,0.5,0.5,1.001809258618327
2023-11-20,0.9951232440494411,1.0048483303470843,0.5,0.5,0.9999857871982627
2023-11-21,0.9942349003403342,1.0018809335959349,0.5,0.5,0.9980579169681345
2023-11-22,1.0092777138826114,1.0060403076749114,0.5,0.5,1.0076590107787613
2023-11-24,1.0014365587329142,1.0049493376984917,0.5,0.5,1.003192948215703
2023-11-27,1.0223751244147485,1.0100113107807467,0.5,0.5,1.0161932175977477
2023-11-28,0.9882155517977447,0.9948040957816164,0.5,0.5,0.9915098237896806
2023-11-29,0.9914819848626962,0.9689032357513708,0.5,0.5,0.9801926103070335
2023-11-30,1.014032184719688,1.0038149037879234,0.5,0.5,1.0089235442538058
2023-12-01,1.024569181276672,0.9904163489900459,0.5,0.5,1.007492765133359
2023-12-04,1.0231534525044452,0.9919920231745702,0.5,0.5,1.0075727378395078
2023-12-05,1.0067348567939007,0.9948705172404357,0.5,0.5,1.0008026870171682
2023-12-06,0.9708320835283516,0.9519904933693006,0.5,0.5,0.9614112884488262
2023-12-07,1.024531481851502,0.9813547709407742,0.5,0.5,1.0029431263961381
2023-12-08,0.9943502077643522,1.0061523803795913,0.5,0.5,1.0002512940719717
2023-12-11,0.9978356550365806,1.0444204538828168,0.5,0.5,1.0211280544596986
2023-12-12,1.0122017597117228,0.9857081345665296,0.5,0.5,0.9989549471391261
2023-12-13,1.0211624086307678,1.0169446185121072,0.5,0.5,1.0190535135714374
2023-12-14,0.9834733294651831,0.9928712849940173,0.5,0.5,0.9881723072296003
2023-12-15,1.0050680008995811,1.02724912445412,0.5,0.5,1.0161585626768506
2023-12-18,1.0021229879219662,1.005136760850511,0.5,0.5,1.0036298743862386
2023-12-19,1.0046078173463064,1.0121480970848138,0.5,0.5,1.00837795721556
2023-12-20,0.997083838636397,0.968545850006301,0.5,0.5,0.982814844321349
2023-12-21,1.0047858754987435,1.0111100921410148,0.5,0.5,1.007947983819879
2023-12-22,1.0060863859026958,0.9748119603535884,0.5,0.5,0.9904491731281422
2023-12-26,1.0047341633841977,1.0194223152400468,0.5,0.5,1.0120782393121224
2023-12-27,1.0047119582443882,0.9987242556180793,0.5,0.5,1.0017181069312338
2023-12-28,1.0114642590246898,0.9973600013882922,0.5,0.5,1.004412130206491
2023-12-29,0.9922721276018871,0.998121373831722,0.5,0.5,0.9951967507168045
2024-01-02,0.9883177626569657,0.9859696869570002,0.5,0.5,0.987143724806983
2024-01-03,1.0028896573988926,1.0052061040262166,0.5,0.5,1.0040478807125546
2024-01-04,1.0057620530004012,0.9957703883446124,0.5,0.5,1.0007662206725068
2024-01-05,1.004947873255075,1.00762829790182,0.5,0.5,1.0062880855784475
2024-01-08,1.0142522884369543,1.0067963028752231,0.5,0.5,1.0105242956560887
2024-01-09,1.0114971843336888,0.9953857586656052,0.5,0.5,1.003441471499647
2024-01-10,0.9714575300084088,0.9945059874852987,0.5,0.5,0.9829817587468538
2024-01-11,1.010660259213362,0.9746223300676742,0.5,0.5,0.9926412946405181
2024-01-12,1.0090045697557724,1.0,0.5,0.5,1.0045022848778862
2024-01-16,1.0025495202314134,0.9902576707710704,0.5,0.5,0.9964035955012419
2024-01-17,1.0101733308324603,1.000983769091925,0.5,0.5,1.0055785499621925
2024-01-18,0.992195041430481,0.9954434028923613,0.5,0.5,0.9938192221614212
2024-01-19,1.019284575037265,1.0272865593614624,0.5,0.5,1.0232855671993637
2024-01-22,0.9950211628586398,1.0241152555274085,0.5,0.5,1.009568209193024
2024-01-23,0.9969976723516315,1.01262694250548,0.5,0.5,1.0048123074285558
2024-01-24,0.9844417806095384,0.9745555749211938,0.5,0.5,0.979498677765366
2024-01-25,1.030588816320048,1.0421889205362747,0.5,0.5,1.0363888684281615
2024-01-26,1.0086567408513551,1.0059726344980346,0.5,0.5,1.007314687674695
2024-01-29,0.9946053149434945,0.9978560240752946,0.5,0.5,0.9962306695093945
2024-01-30,1.016518805660699,1.0071894725991393,0.5,0.5,1.0118541391299192
2024-01-31,0.9951490719646696,1.000984682435147,0.5,0.5,0.9980668771999083
2024-02-01,1.054350467449667,1.0461474808607654,0.5,0.5,1.0502489741552163
2024-02-02,1.029819644555146,1.0162969236711783,0.5,0.5,1.0230582841131621
2024-02-05,0.9730640718760507,0.9793386163902191,0.5,0.5,0.976201344133135
2024-02-06,0.9979238228507821,1.0313312066737637,0.5,0.5,1.0146275147622728
2024-02-07,1.0115580156695054,1.0113732262636521,0.5,0.5,1.0114656209665789
2024-02-08,0.9803475004350781,0.986566111999783,0.5,0.5,0.9834568062174305
2024-02-09,1.0076922304764435,1.0110922671935536,0.5,0.5,1.0093922488349985
2024-02-12,0.9902845479899391,0.9723085333665669,0.5,0.5,0.981296540678253
2024-02-13,1.0324689942066454,0.9953309554027383,0.5,0.5,1.013899974804692
2024-02-14,1.0015836042453443,1.0059416398579535,0.5,0.5,1.003762622051649
2024-02-15,1.0252994468514702,1.021994312273628,0.5,0.5,1.023646879562549
2024-02-16,1.0041859074903676,0.9974145396411135,0.5,0.5,1.0008002235657405
2024-02-20,1.0125055463550159,1.004879635346409,0.5,0.5,1.0086925908507123
2024-02-21,1.0006501546660282,0.9969648463700369,0.5,0.5,0.9988075005180326
2024-02-22,1.0311821069084246,1.0151444913700705,0.5,0.5,1.0231632991392474
2024-02-23,1.0209996515550852,1.0044983476358553,0.5,0.5,1.0127489995954702
2024-02-26,1.002673811299412,0.9942533793531741,0.5,0.5,0.998463595326293
2024-02-27,1.0457435005964997,1.169193737943895,0.5,0.5,1.1074686192701972
2024-02-28,1.040015719208186,1.0967512256869687,0.5,0.5,1.0683834724475774
2024-02-29,1.0286684712816987,0.9860682379681742,0.5,0.5,1.0073683546249366
2024-03-01,0.9992665510428832,1.0091420558393775,0.5,0.5,1.0042043034411303
2024-03-04,1.0456881645242035,1.0352963075287043,0.5,0.5,1.040492236026454
2024-03-05,1.0333391627945225,1.0044319807703315,0.5,0.5,1.018885571782427
