Date,SMR,OKLO,NNE,NNE weight,OKLO weight,SMR weight,weightedReturn
2023-06-06,1.0297157656169103,0.974647932980244,0.0,0.0,0.5,0.5,1.002181849298577
2023-06-07,1.0338770373945043,1.01830439097192,0.0,0.0,0.5,0.5,1.026090714183212
2023-06-08,0.996359255606251,0.9981078992746661,0.0,0.0,0.5,0.5,0.9972335774404586
2023-06-09,0.9598051251921143,0.999052111023598,0.0,0.0,0.5,0.5,0.9794286181078562
2023-06-12,1.0469542995159378,1.0023718803245496,0.0,0.0,0.5,0.5,1.0246630899202436
2023-06-13,1.0230302521676728,1.0042593542906997,0.0,0.0,0.5,0.5,1.0136448032291863
2023-06-14,0.9751184776554888,1.0028275860147298,0.0,0.0,0.5,0.5,0.9889730318351093
2023-06-15,0.9854192111502263,0.9971803866844483,0.0,0.0,0.5,0.5,0.9912997989173373
2023-06-16,1.007398325789977,0.9995287356642117,0.0,0.0,0.5,0.5,1.0034635307270943
2023-06-20,0.9669522670250708,0.9995286033962857,0.0,0.0,0.5,0.5,0.9832404352106783
2023-06-21,1.02278478812224,0.9971697466447309,0.0,0.0,0.5,0.5,1.0099772673834855
2023-06-22,0.9579207727972424,1.0033112439378071,0.0,0.0,0.5,0.5,0.9806160083675248
2023-06-23,0.9392765110994633,0.9993399368425672,0.0,0.0,0.5,0.5,0.9693082239710152
2023-06-26,0.9257221508569787,0.9973580034857077,0.0,0.0,0.5,0.5,0.9615400771713432
2023-06-27,0.9791976424830874,0.997161803799684,0.0,0.0,0.5,0.5,0.9881797231413857
2023-06-28,1.0121395936045068,0.9886148115755795,0.0,0.0,0.5,0.5,1.0003772025900433
2023-06-29,1.025487267518654,1.0019193381902995,0.0,0.0,0.5,0.5,1.0137033028544766
2023-06-30,0.9941520524911255,0.9990422149799404,0.0,0.0,0.5,0.5,0.9965971337355329
2023-07-03,1.0397058784342967,0.9990412053126333,0.0,0.0,0.5,0.5,1.019373541873465
2023-07-05,0.9773691201747639,1.0067178209512178,0.0,0.0,0.5,0.5,0.9920434705629908
2023-07-06,0.9652677602868476,0.999046689313629,0.0,0.0,0.5,0.5,0.9821572248002384
2023-07-07,1.088455793978898,1.0019084407096648,0.0,0.0,0.5,0.5,1.0451821173442815
2023-07-10,1.0316803767197336,1.0028571174258278,0.0,0.0,0.5,0.5,1.0172687470727806
2023-07-11,1.0520694733298412,0.985755021620694,0.0,0.0,0.5,0.5,1.0189122474752677
2023-07-12,0.9682741121358807,1.0,0.0,0.0,0.5,0.5,0.9841370560679403
2023-07-13,1.0314547532789584,0.998073173647094,0.0,0.0,0.5,0.5,1.014763963463026
2023-07-14,0.9720457695818605,1.0009652730900807,0.0,0.0,0.5,0.5,0.9865055213359706
2023-07-17,1.0248366084773668,0.998071407491797,0.0,0.0,0.5,0.5,1.011454007984582
2023-07-18,1.001275478552303,1.0,0.0,0.0,0.5,0.5,1.0006377392761516
2023-07-19,0.9808917073643643,1.0,0.0,0.0,0.5,0.5,0.9904458536821821
2023-07-20,0.9727272670975541,0.9990337943465452,0.0,0.0,0.5,0.5,0.9858805307220496
2023-07-21,0.9933244705706792,1.0019341879878358,0.0,0.0,0.5,0.5,0.9976293292792575
2023-07-24,0.9892473221652175,0.9961389996931856,0.0,0.0,0.5,0.5,0.9926931609292016
2023-07-25,1.017662993919225,1.0,0.0,0.0,0.5,0.5,1.0088314969596124
2023-07-26,0.9879840215619531,1.001938028910379,0.0,0.0,0.5,0.5,0.994961025236166
2023-07-27,0.9256756508585485,1.0,0.0,0.0,0.5,0.5,0.9628378254292742
